Quarter E Date,Date,Ticker,Percentage Change,Percentage of ShOutI,Return of Stocks,Return of Market,Excess Return,In Sample
6/30/2017,8/19/2017,PYPL,2.1753515,82.1018923,0.002529904,-0.001835367,0.004365271,0
9/30/2017,11/19/2017,PYPL,-0.15708,81.9448123,-0.016988418,-0.002625963,-0.014362455,0
12/30/2017,2/18/2018,PYPL,-1.415256,80.5295563,-0.00741533,0.00037347,-0.0077888,0
3/31/2016,5/20/2016,WFC,,75.1448922,0.007647863,0.006019504,0.001628359,1
6/30/2016,8/19/2016,WFC,-0.4761062,74.668786,0.002472764,-0.001440272,0.003913036,1
9/30/2016,11/19/2016,WFC,-0.3371881,74.3315979,0.006286967,-0.002386798,0.008673765,1
12/30/2016,2/18/2017,WFC,1.8611376,76.1927355,-0.000516124,0.001678556,-0.00219468,1
3/30/2017,5/19/2017,WFC,-0.6553595,75.537376,0.002679925,0.0067675,-0.004087575,1
6/30/2017,8/19/2017,WFC,-0.8295138,74.7078622,-0.002316605,-0.001835367,-0.000481238,0
9/30/2017,11/19/2017,WFC,-0.0595486,74.6483136,-0.008241721,-0.002625963,-0.005615758,0
12/30/2017,2/18/2018,WFC,2.0604845,76.7087981,-0.010277295,0.00037347,-0.010650765,0
3/31/2016,5/20/2016,USB,,68.7253671,0.005298759,0.006019504,-0.000720745,1
6/30/2016,8/19/2016,USB,1.677617,70.4029841,0.003007949,-0.001440272,0.004448221,1
9/30/2016,11/19/2016,USB,0.1571137,70.5600978,0.011298266,-0.002386798,0.013685064,1
12/30/2016,2/18/2017,USB,0.7070934,71.2671912,-0.002363226,0.001678556,-0.004041782,1
3/30/2017,5/19/2017,USB,-0.1695097,71.0976815,0.00554895,0.0067675,-0.00121855,1
6/30/2017,8/19/2017,USB,2.3344993,73.4321808,-0.0007735,-0.001835367,0.001061867,0
9/30/2017,11/19/2017,USB,-0.5870739,72.8451069,0.001351134,-0.002625963,0.003977097,0
12/30/2017,2/18/2018,USB,1.0971189,73.9422258,-0.006858225,0.00037347,-0.007231695,0
3/31/2016,5/20/2016,SBUX,,69.2333159,0.001283224,0.006019504,-0.00473628,1
6/30/2016,8/19/2016,SBUX,-1.0750864,68.1582295,-0.010624921,-0.001440272,-0.009184649,1
9/30/2016,11/19/2016,SBUX,-0.2263024,67.9319271,-0.001432313,-0.002386798,0.000954485,1
12/30/2016,2/18/2017,SBUX,0.6075601,68.5394872,0.010929016,0.001678556,0.00925046,1
3/30/2017,5/19/2017,SBUX,0.3159735,68.8554607,0.001506821,0.0067675,-0.005260679,1
6/30/2017,8/19/2017,SBUX,1.7934048,70.6488655,-0.00641026,-0.001835367,-0.004574893,0
9/30/2017,11/19/2017,SBUX,-1.1587398,69.4901257,-0.005415852,-0.002625963,-0.002789889,0
12/30/2017,2/18/2018,SBUX,3.1473114,72.6374371,-0.006573309,0.00037347,-0.006946779,0
3/31/2016,5/20/2016,TWX,,77.6209144,0.016901638,0.006019504,0.010882134,1
6/30/2016,8/19/2016,TWX,2.1581316,79.779046,-0.000371198,-0.001440272,0.001069074,1
9/30/2016,11/19/2016,TWX,-0.142942,79.636104,0.007277539,-0.002386798,0.009664337,1
12/30/2016,2/18/2017,TWX,-0.3926563,79.2434477,0.000933639,0.001678556,-0.000744917,1
3/30/2017,5/19/2017,TWX,-0.8549938,78.3884539,0.002687374,0.0067675,-0.004080126,1
6/30/2017,8/19/2017,TWX,0.9529426,79.3413965,-0.004133401,-0.001835367,-0.002298034,0
9/30/2017,11/19/2017,TWX,-0.7977195,78.543677,0.008067249,-0.002625963,0.010693212,0
12/30/2017,2/18/2018,TWX,2.0233409,80.5670179,-0.001528166,0.00037347,-0.001901636,0
3/31/2016,5/20/2016,ORCL,,56.5469442,0.014675579,0.006019504,0.008656075,1
6/30/2016,8/19/2016,ORCL,-0.80575,55.7411942,0.004375261,-0.001440272,0.005815533,1
9/30/2016,11/19/2016,ORCL,2.3130111,58.0542053,-0.009689229,-0.002386798,-0.007302431,1
12/30/2016,2/18/2017,ORCL,-0.105669,57.9485363,0.011300746,0.001678556,0.00962219,1
3/30/2017,5/19/2017,ORCL,0.1619192,58.1104555,-0.001356597,0.0067675,-0.008124097,1
6/30/2017,8/19/2017,ORCL,0.2770751,58.3875306,0.001441823,-0.001835367,0.00327719,0
9/30/2017,11/19/2017,ORCL,-0.140908,58.2466226,-0.005284626,-0.002625963,-0.002658663,0
12/30/2017,2/18/2018,ORCL,-0.2744353,57.9721873,-0.005050547,0.00037347,-0.005424017,0
3/31/2016,5/20/2016,PG,,58.6878029,-0.002119958,0.006019504,-0.008139462,1
6/30/2016,8/19/2016,PG,1.3122367,60.0000396,-0.001487027,-0.001440272,-4.68E-05,1
9/30/2016,11/19/2016,PG,9.6518946,69.6519342,-0.012880604,-0.002386798,-0.010493806,1
